Music_Title,Drum_Kick,Drum_Snare,Drum_HiHat,Drum_Cymbals,Drum_Overheads,Drum_Tom,Drum_Room,Percussion,Bass,Acoustic_Guitar,Electric_Guitar,Piano,Electric_Piano,Brass,String,WoodWind,Other,Lead_Vocal,Backing_Vocal,Unused,Vocal_Quality
Of Ice And Hopeless Fate,['01_Kick.wav'],['02_Snare.wav'],['06_HiHat.wav'],['07_Ride.wav'],['08_Overheads.wav'],"['03_Tom1.wav', '04_Tom2.wav', '05_Tom3.wav']",['09_DrumsRoom.wav'],[],['10_Bass.wav'],[],"['11_ElecGtr01DI.wav', '12_ElecGtr02DI.wav', '13_ElecGtr03DI.wav', '14_ElecGtr04.wav', '15_ElecGtr04DI.wav', '16_ElecGtr05.wav', '17_ElecGtr05DI.wav', '18_ElecGtr06.wav', '19_ElecGtr06DI.wav', '20_ElecGtr07.wav', '21_ElecGtr07DI.wav']",[],[],[],[],[],"['22_Synth1.wav', '24_Synth3.wav', '25_Synth4.wav', '26_Synth5.wav']","['27_LeadVox1.wav', '28_LeadVox2.wav']",['23_Synth2.wav'],[],1
Oh Life,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",[],['09_CymbalRolls.wav'],"['06_OverheadMono.wav', '07_OverheadsStereo.wav']","['04_Tom1.wav', '05_Tom2.wav']",['08_DrumsRoom.wav'],['10_Tambourine.wav'],['12_Bass.wav'],['11_AcousticGtr.wav'],"['14_ElecGtr1.wav', '15_ElecGtr2.wav', '16_ElecGtr3.wav']",['13_Piano.wav'],[],[],['18_Strings.wav'],[],['17_Synth.wav'],['19_LeadVox.wav'],"['20_BackingVox1.wav', '21_BackingVox2.wav', '22_BackingVox2DT.wav', '23_BackingVox3.wav', '24_BackingVox3DT.wav']",[],1
Oil,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['05_Tom1.wav', '06_Tom2.wav', '07_Tom3.wav']",[],"['08_Tambourine1.wav', '09_Tambourine2.wav']","['10_BassDI.wav', '11_BassAmp.wav']",[],"['12_Gtr1.wav', '13_Gtr2.wav']",[],[],[],[],[],[],['14_LeadVox.wav'],"['15_BackingVox1.wav', '16_BackingVox2.wav']",['04_Room.wav'],0
Omen,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",['04_HiHat.wav'],[],"['10_Overheads.wav', '12_DrumsCrush.wav']","['05_Tom1.wav', '06_Tom2.wav', '07_Tom3.wav', '08_Tom4.wav', '09_Tom5.wav']",['11_DrumsRoom.wav'],[],['13_Bass.wav'],[],"['14_ElecGtr1.wav', '15_ElecGtr2.wav', '16_ElecGtr2DI.wav', '17_ElecGtr2DT.wav', '18_ElecGtr2DTDI.wav', '19_ElecGtr3.wav', '20_ElecGtr3DI.wav', '21_ElecGtr4.wav', '22_ElecGtr4DI.wav']",['25_Piano.wav'],[],"['27_Brass1.wav', '28_Brass2.wav']",['29_Strings.wav'],['30_Flutes.wav'],"['26_Bells.wav', '31_Synth1.wav', '32_Synth2.wav', '33_Synth3.wav', '34_SFX.wav']",[],"['23_Choir1.wav', '24_Choir2.wav']",[],1
On The Line,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav']",[],[],['06_BassStudioPros.wav'],"['07_AcGtr_DIConvolved.wav', '08_AcGtr_Mics.wav', '09_Mandolin1.wav', '10_Mandolin2.wav']",[],[],[],[],"['11_Cello1.wav', '12_Cello2.wav']",[],[],['13_LeadVox.wav'],['14_BackingVox.wav'],[],1
Once More (With Feeling),"['01_Kick.wav', '02_KickSub.wav']","['03_SnareUp.wav', '04_SnareDown.wav']",['05_HiHat.wav'],"['11_ReverseCymbal.wav', '12_Ride.wav']",['06_Overheads.wav'],"['08_Tom1.wav', '09_Tom2.wav', '10_Tom3.wav']",['07_Room.wav'],"['16_Handclap.wav', '13_Maracas.wav', '14_Triangle.wav', '15_Bongos.wav']","['17_BassDI.wav', '18_BassAmp.wav']","['23_AcGuitar1.wav', '24_AcGuitar2.wav']","['19_ElecGtr1.wav', '20_ElecGtr2.wav', '21_ElecGtr3.wav', '22_ElecGtr4.wav']",['25_Piano.wav'],"['26_Organ1.wav', '27_Organ2.wav']",[],[],[],"['28_Synth1.wav', '29_Synth2.wav', '30_Synth3.wav']",['31_LeadVox.wav'],"['32_BackingVox01.wav', '33_BackingVox02.wav', '34_BackingVox03.wav', '35_BackingVox04.wav', '36_BackingVox05.wav', '37_BackingVox06.wav', '38_BackingVox07.wav', '39_BackingVox08.wav', '40_BackingVox09.wav', '41_BackingVox10.wav', '42_BackingVox11.wav', '43_BackingVox12.wav', '44_BackingVox13.wav', '45_BackingVox14.wav', '46_BackingVox15.wav', '47_BackingVox16.wav', '48_BackingVox17.wav', '49_BackingVox18.wav', '50_BackingVox19.wav', '51_BackingVox20.wav', '52_BackingVox21.wav', '53_BackingVox22.wav', '54_BackingVox23.wav', '55_BackingVox24.wav', '56_BackingVox25.wav', '57_BackingVox26.wav', '58_BackingVox27.wav', '59_BackingVox28.wav', '60_BackingVox29.wav', '61_BackingVox30.wav', '62_BackingVox31.wav', '63_BackingVox32.wav']",[],1
One Flip Flop,"['01_KickIn.wav', '02_KickOut.wav', '03_KickSample1.wav', '04_KickSample2.wav', '05_KickSample3.wav', '06_KickSample4.wav']","['09_SnareUp.wav', '10_SnareDown.wav', '11_SnareSample.wav']",['12_HiHat.wav'],[],['15_Overheads.wav'],"['13_Tom1.wav', '14_Tom2.wav']",['16_DrumsRoom.wav'],"['08_ClapsRoom.wav', '07_Claps.wav']","['17_BassAmp.wav', '18_BassDI.wav']",[],"['19_ElecGtr1Mic1.wav', '20_ElecGtr1Mic2.wav', '21_ElecGtr1DI.wav', '22_ElecGtr1AmpSim.wav', '23_ElecGtr2Mic1.wav', '24_ElecGtr2Mic2.wav', '25_ElecGtr2DI.wav', '26_ElecGtr2AmpSim.wav', '27_ElecGtr3Mic1.wav', '28_ElecGtr3Mic2.wav', '29_ElecGtr3DI.wav', '30_ElecGtr3AmpSim.wav']",[],[],[],[],[],['31_SFX.wav'],"['32_LeadVox1.wav', '33_LeadVox2.wav']","['34_BackingVox1.wav', '35_BackingVox2.wav', '36_BackingVox2DT.wav', '37_BackingVox3.wav', '38_BackingVox3DT.wav', '39_BackingVox4.wav', '40_BackingVox4DT.wav']",[],1
One Minute Smile,[],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav']",[],['06_Tambourine.wav'],['07_Bass.wav'],[],"['08_ElecGtr1.wav', '09_ElecGtr2.wav', '10_ElecGtr3.wav', '11_ElecGtr4.wav', '12_ElecGtr5.wav', '13_ElecGtr6.wav']",[],[],[],[],[],[],"['14_LeadVox1.wav', '15_LeadVox2.wav', '16_LeadVoxDT.wav']","['17_BackingVox1.wav', '18_BackingVox2.wav', '19_BackingVox3.wav', '20_BackingVox4.wav', '21_BackingVox5.wav', '22_BackingVox6.wav', '23_BackingVox7.wav']",['01_KickTrigger.wav'],1
One Time Weekend,"['Drums-Kick In-M82.wav', 'Drums-Kick Out-AK47.wav']","['Drums-Side Snare-M60.wav', 'Drums-Snare Bottom-M81.wav', 'Drums-Snare Top-M80.wav']",['Drums-HAT-M60.wav'],[],"['Drums-Overheads-ELA M 260.wav', 'Drums-Rack 2-M80.wav']","['Drums-Floor Tom1-M81.wav', 'Drums-Rack Tom-M80.wav']",['Drums-Room-M81.wav'],[],"['Bass-Active DI.wav', 'Bass-Amp-CU29.wav']",[],"['ELE Guitar 1-M81.wav', 'ELE Guitar 2-M80.wav']",[],[],[],[],[],[],['Vocals-BV-M81.wav'],"['Vocals-2-M81.wav', 'Vocals-LEAD-M81.wav']",[],0
Oral Hygiene,"['01_Kick1.wav', '02_Kick2.wav']","['03_Snare1.wav', '04_Snare2.wav']",['06_Hat.wav'],[],[],[],[],['05_Clap.wav'],"['07_BassSynth1.wav', '08_BassSynth2.wav', '09_BassSub.wav']",[],[],[],[],[],[],[],"['10_Synth1.wav', '11_Synth2.wav', '12_Synth3.wav', '13_Synth4.wav', '14_Synth5.wav', '15_Synth6.wav', '16_Synth7.wav', '17_Synth8.wav']",[],"['18_Vox01.wav', '19_Vox02.wav', '20_Vox03.wav', '21_Vox04.wav', '22_Vox05.wav', '23_Vox06.wav', '24_Vox07.wav', '25_Vox08.wav', '26_Vox09.wav', '27_Vox10.wav', '28_Vox11.wav', '29_Vox12.wav', '30_Vox13.wav']",[],1
Our Love Is Here To Stay,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],['04_Toms.wav'],[],[],"['05_BassMic.wav', '06_BassDI.wav']",[],['08_ElecGtr.wav'],['07_Piano.wav'],[],['09_Sax.wav'],[],[],[],['10_LeadVox.wav'],[],[],1
Outa Control,"['01_KickIn.wav', '02_KickOut.wav']","['03_SnareUp.wav', '04_SnareDown.wav']",['05_HiHat.wav'],['06_Ride.wav'],['13_Overheads.wav'],"['07_Tom1.wav', '08_Tom2.wav', '09_Tom3.wav', '10_Tom4.wav', '11_Tom5.wav', '12_Tom6.wav']","['14_DrumsRoom1.wav', '15_DrumsRoom2.wav']",['16_Tambourine.wav'],"['17_BassDI.wav', '18_BassDist.wav', '19_BassAmp.wav']","['35_AcousticGtr1.wav', '36_AcousticGtr2.wav']","['20_ElecGtr01.wav', '21_ElecGtr02.wav', '22_ElecGtr03.wav', '23_ElecGtr04.wav', '24_ElecGtr05.wav', '25_ElecGtr06.wav', '26_ElecGtr07.wav', '27_ElecGtr08.wav', '28_ElecGtr09.wav', '29_ElecGtr10.wav', '30_ElecGtr11.wav', '31_ElecGtr12.wav', '32_ElecGtr13.wav', '33_ElecGtr14.wav', '34_ElecGtr15.wav']",[],['37_Rhodes.wav'],[],[],[],"['38_Hammond.wav', '39_Clavinet.wav', '40_Synth1.wav', '41_Synth2.wav']","['42_LeadVox.wav', '43_LeadVoxDT1.wav', '44_LeadVoxDT2.wav']","['45_BackingVox1.wav', '46_BackingVox1DT.wav', '47_BackingVox2.wav', '48_BackingVox2DT.wav', '49_BackingVox3.wav', '50_BackingVox3DT.wav', '51_BackingVox4.wav', '52_BackingVox4DT.wav', '53_BackingVox5.wav', '54_BackingVox5DT.wav', '55_BackingVox6.wav', '56_BackingVox6DT.wav', '57_BackingVox7.wav', '58_BackingVox7DT.wav', '59_BackingVox8.wav', '60_BackingVox8DT.wav']",[],1
Outer ,['01_Kick.wav'],['02_Snare.wav'],[],[],"['05_OverheadMono.wav', '06_OverheadStereo.wav']","['03_Tom1.wav', '04_Tom2.wav']",['07_DrumsRoom.wav'],[],['08_BassDI.wav'],[],"['09_ElecGtr01Mic1.wav', '10_ElecGtr01Mic2.wav', '11_ElecGtr02.wav', '12_ElecGtr03.wav', '13_ElecGtr04Mic1.wav', '14_ElecGtr04Mic2.wav']",[],[],[],[],[],[],"['15_LeadVox.wav', '16_LeadVoxDT.wav']",[],[],1
Over The Top,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],[],[],[],['04_Bass.wav'],[],"['05_ElecGtr1.wav', '06_ElecGtr2.wav', '07_ElecGtr3.wav']",[],[],[],[],[],['08_Hammond.wav'],"['09_LeadVox.wav', '10_LeadVoxDT.wav']",['11_BackingVox.wav'],[],1
Own Way To Boogie,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",['04_HiHat.wav'],[],['07_Overheads.wav'],"['05_Tom1.wav', '06_Tom2.wav']",['08_DrumsRoom.wav'],[],"['09_BassMic1.wav', '10_BassMic2.wav', '11_BassDI.wav']",[],[],"['12_PianoMicPair1.wav', '13_PianoMicPair2.wav', '14_PianoMicPair3.wav']",[],[],[],[],[],"['15_LeadVox.wav', '16_LeadVoxHarm.wav']","['17_BackingVox01.wav', '18_BackingVox02.wav', '19_BackingVox03.wav', '20_BackingVox04.wav', '21_BackingVox05.wav', '22_BackingVox06.wav']",[],1
Pachebel's Canon,[],[],[],[],[],[],[],[],[],"['01_MainPair.wav', '02_DI.wav']",[],[],[],[],[],[],[],[],[],[],0
Paraisso,"['01_Kick1.wav', '02_Kick2.wav']",['03_Snare.wav'],"['06_Hihat1.wav', '07_HiHat2.wav']",['10_CymbalSwells.wav'],[],[],[],"['04_Claps1.wav', '05_Claps2.wav', '08_Pandeiro1.wav', '09_Pandeiro2.wav', '12_SFX.wav', '11_Loop.wav']",['13_Bass.wav'],[],['14_ElecGtr.wav'],['19_Piano.wav'],[],[],[],[],"['20_Synth1.wav', '21_Synth2.wav', '22_Synth3.wav', '23_Synth4.wav', '24_Synth5.wav', '25_Synth6.wav']","['15_LeadVox.wav', '16_LeadVoxHarm.wav']","['17_VoxSFX1.wav', '18_VoxSFX2.wav']",[],1
Parole Vuote,['01_Kick.wav'],['02_Snare.wav'],[],[],[],[],[],"['03_Clap.wav', '04_Shaker.wav', '05_Loop.wav']",['11_Bass.wav'],['14_AcousticGtr.wav'],[],"['12_PianoSFX1.wav', '13_PianoSFX2.wav']",[],[],[],[],"['06_SFX1.wav', '07_SFX2.wav', '08_SFX3.wav', '09_SFX4.wav', '10_SFX5.wav', '15_Synth1.wav', '16_Synth2.wav', '17_Synth3.wav', '18_Synth4.wav', '19_Synth5.wav']","['20_LeadVox1.wav', '21_LeadVox1DT1.wav', '22_LeadVox1DT2.wav', '23_LeadVox1DT3.wav', '24_LeadVox2.wav', '25_LeadVox2DT1.wav', '26_LeadVox2DT2.wav', '27_LeadVox2DT3.wav', '28_LeadVox2DT4.wav', '29_LeadVox2DT5.wav', '30_LeadVox3.wav', '31_LeadVox3DT.wav']","['32_BackingVox1.wav', '33_BackingVox2.wav', '34_BackingVox3.wav', '35_BackingVox3DT.wav', '36_BackingVox4.wav', '37_BackingVox5.wav', '38_BackingVox5DT.wav', '39_BackingVox6.wav', '40_BackingVox7.wav', '41_BackingVox7DT.wav', '42_BackingVox8.wav', '43_BackingVox8DT.wav', '44_VoxSFX1.wav', '45_VoxSFX2.wav']",[],1
Passenger Side,"['Drums-Kick in-M82.wav', 'Drums-Kick Out-647.wav']","['Drums-Snare Bottom-M80.wav', 'Drums-Snare Top-M80.wav', 'Drums-Snare Top2-M81.wav']",['Drums-Hat-M60.wav'],[],['Drums-Overhead-CU29.wav'],"['Drums-Floor-M81.wav', 'Drums-Rack-M81.wav']]",['Drums-Chamber-AR70.wav'],[],['Bass-DI.wav'],[],"['ELE Guitar 1-Con-AK47.wav', 'ELE Guitar 1-Dyn-M81.wav', 'ELE Guitar 2-Con-AR51.wav', 'ELE Guitar 2-Dyn-M81.wav']",[],['Keys-Hammond-M81.wav'],[],[],[],[],"['Vocals-Erica-M80.wav', 'Vocals-Nick-M81.wav']","['Vocals-BG-M81.wav', 'Vocals-BG2-M81.wav']",[],0
Passing Ships,"['01_KickMic1.wav', '02_KickMic2.wav', '03_KickSub.wav']","['04_SnareUp.wav', '05_SnareDown.wav']",['06_HiHat.wav'],"['07_Ride.wav', '13_CymbalsOD.wav']",['08_Overheads.wav'],"['10_Tom1.wav', '11_Tom2.wav', '12_Tom3.wav']",['09_DrumsRoom.wav'],[],['14_BassDI.wav'],['30_AcousticGtr.wav'],"['15_ElecGtr1Mic1.wav', '16_ElecGtr1Mic2.wav', '17_ElecGtr2Mic1.wav', '18_ElecGtr2Mic2.wav', '19_ElecGtr2DI.wav', '20_ElecGtr3Mic1.wav', '21_ElecGtr3Mic2.wav', '22_ElecGtr3DI.wav', '23_ElecGtr4Mic1.wav', '24_ElecGtr4Mic2.wav', '25_ElecGtr4DI.wav', '26_ElecGtr5.wav', '27_ElecGtr6Mic1.wav', '28_ElecGtr6Mic2.wav', '29_ElecGtr6DI.wav']","['35_PianoMic1.wav', '36_PianoMic2.wav', '37_PianoRoom.wav']",[],[],"['31_Cello1Mic1.wav', '32_Cello1Mic2.wav', '33_Cello2Mic1.wav', '34_Cello2Mic2.wav']",[],"['38_Synth1.wav', '39_Synth2.wav']","['40_LeadVox.wav', '41_LeadVoxRoom.wav']","['42_BackingVox1.wav', '43_BackingVox2.wav', '44_BackingVox3.wav', '45_BackingVox4.wav', '46_BackingVox5.wav', '47_BackingVox6.wav', '48_BackingVox7.wav', '49_BackingVox8.wav', '50_BackingVox9.wav']",[],1
Pennies,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",[],[],['04_Overheads.wav'],"['06_Tom1.wav', '07_Tom2.wav']",['05_DrumRoom.wav'],[],"['08_BassDI.wav', '09_BassAmpMic1.wav', '10_BassAmpMic2.wav']",[],"['11_ElecGtr1a.wav', '12_ElecGtr1b.wav', '13_ElecGtr1c.wav', '14_ElecGtr1d.wav', '15_ElecGtr2a.wav', '16_ElecGtr2b.wav', '17_ElecGtr2c.wav', '18_ElecGtr2d.wav', '19_ElecGtr3a.wav', '20_ElecGtr3b.wav', '21_ElecGtr3c.wav', '22_ElecGtr3d.wav']",[],[],[],[],[],[],"['23_LeadVox1.wav', '24_LeadVox1DT.wav', '25_LeadVox2.wav']","['26_BackingVox1.wav', '27_BackingVox2.wav', '28_BackingVox3.wav']",[],1
Piece Of Me,"['01_KickMic1.wav', '02_KickMic2.wav', '03_KickSample.wav']","['04_SnareUpMic1.wav', '05_SnareUpMic2.wav', '06_SnareSample.wav', '07_SnareDown.wav']",['08_HiHat.wav'],[],['13_Overheads.wav'],"['09_Tom1.wav', '10_Tom2.wav', '11_Tom3.wav', '12_Tom4.wav']",['14_DrumsRoom.wav'],[],['15_Bass.wav'],['23_AcousticGtr.wav'],"['16_ElecGtr1.wav', '17_ElecGtr2.wav', '18_ElecGtr3.wav', '19_ElecGtr4.wav', '20_ElecGtr5.wav', '21_ElecGtr6.wav', '22_ElecGtr7.wav']",['24_Piano.wav'],[],[],['26_Strings.wav'],[],"['25_Synth.wav', '27_SFXIntro.wav']","['28_LeadVox1.wav', '29_LeadVox2.wav', '30_LeadVox3.wav']",['31_BackingVox.wav'],[],1
Piers,"['01_KickFront.wav', '02_KickBack.wav']","['03_SnareUp.wav', '04_SnareDown.wav']",['08_HiHat.wav'],['09_Cymbals.wav'],['10_Overheads.wav'],"['05_Tom1.wav', '06_Tom2.wav', '07_Tom3.wav']",[],[],['11_BassDI.wav'],[],"['12_ElecGtr1Mic1.wav', '13_ElecGtr1Mic2.wav', '14_ElecGtr1Mic3.wav', '15_ElecGtr2Mic1.wav', '16_ElecGtr2Mic2.wav', '17_ElecGtr2Mic3.wav']",[],[],[],[],[],[],['18_LeadVox.wav'],[],[],1
Placido Domingo,['01_Kick.wav'],['02_Snare.wav'],[],[],['05_Overheads.wav'],"['03_Tom1.wav', '04_Tom2.wav']",[],[],['06_Bass.wav'],[],"['07_ElecGtr1.wav', '08_ElecGtr2.wav']",[],[],[],[],[],[],['09_LeadVox.wav'],"['10_BackingVox1.wav', '11_BackingVox2.wav']",[],0
Polemic,['01_Kick.wav'],['02_Snare.wav'],[],[],"['05_OverheadsStereo.wav', '06_OverheadMono.wav']","['03_Tom1.wav', '04_Tom2.wav']",[],['07_Shaker.wav'],['08_BassAmp.wav'],[],"['09_ElecGtr1.wav', '10_ElecGtr2.wav', '11_ElecGtr3.wav', '12_ElecGtr4.wav']",[],[],[],[],[],['13_Stylophone.wav'],['14_LeadVox.wav'],"['15_BackingVox1.wav', '16_BackingVox2.wav', '17_BackingVox2DT.wav', '18_BackingVox3.wav', '19_BackingVox3DT1.wav', '20_BackingVox3DT2.wav', '21_BackingVox4.wav']",[],1
Pony,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav', '06_Tom3.wav']",[],[],['07_Bass.wav'],[],"['08_ElecGtr1.wav', '09_ElecGtr2.wav', '10_ElecGtr3.wav', '11_ElecGtr4.wav']",[],[],[],[],[],[],['12_LeadVox.wav'],['13_BackingVox.wav'],[],1
Post Rock Is Dumb,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav']",[],[],['05_Overheads.wav'],['04_Tom.wav'],"['06_DrumsRoomStereo1.wav', '07_DrumsRoomStereo2.wav', '08_DrumsRoomMono1.wav', '09_DrumsRoomMono2.wav']",['10_Tambourine.wav'],['11_Bass.wav'],[],"['12_ElecGtr1Mic1.wav', '13_ElecGtr1Mic2.wav', '14_ElecGtr2Mic1.wav', '15_ElecGtr2Mic2.wav', '16_ElecGtr3.wav', '17_ElecGtr4Mic1.wav', '18_ElecGtr4Mic2.wav', '19_ElecGtr5Mic1.wav', '20_ElecGtr5Mic2.wav']",['21_Piano.wav'],['22_Organ.wav'],[],[],[],[],"['23_LeadVox.wav', '24_LeadVoxDT1.wav', '25_LeadVoxDT2.wav']","['26_BackingVox1.wav', '27_BackingVox1DT1.wav', '28_BackingVox1DT2.wav', '29_BackingVox1DT3.wav', '30_BackingVox2.wav', '31_BackingVox2DT1.wav', '32_BackingVox2DT2.wav', '33_BackingVox2DT3.wav', '34_BackingVox3.wav', '35_BackingVox3DT.wav', '36_BackingVox4.wav', '37_BackingVox4DT1.wav', '38_BackingVox4DT2.wav', '39_BackingVox4DT3.wav', '40_BackingVox4SFX1.wav', '41_BackingVox4SFX2.wav', '42_BackingVox5.wav', '43_BackingVox5DT1.wav', '44_BackingVox5DT2.wav', '45_BackingVox5DT3.wav', '46_BackingVox6.wav', '47_BackingVox6DT1.wav', '48_BackingVox6DT2.wav', '49_BackingVox6DT3.wav']",[],1
Pray For The Rain,"['01_KickIn.wav', '02_KickOut.wav']","['03_Snare.wav', '04_SnareSample.wav']",[],"['09_CymbalRoll1.wav', '10_CymbalRoll2.wav']",['05_Overheads.wav'],"['06_Tom1Sample.wav', '07_Tom2Sample.wav', '08_Tom3Sample.wav']",[],[],"['11_BassDI.wav', '12_BassAmp.wav']",[],"['13_ElecGtr01.wav', '14_ElecGtr02.wav', '15_ElecGtr03.wav', '16_ElecGtr04.wav', '17_ElecGtr05.wav', '18_ElecGtr06.wav', '19_ElecGtr07.wav', '20_ElecGtr08.wav', '21_ElecGtr09.wav', '22_ElecGtr10.wav']",[],[],[],[],[],"['23_Synth01.wav', '24_Synth02.wav', '25_Synth03.wav', '26_Synth04.wav', '27_Synth05.wav', '28_Synth06.wav']",['29_LeadVox.wav'],"['30_BackingVox01.wav', '31_BackingVox02.wav', '32_BackingVox03.wav', '33_BackingVox04.wav', '34_BackingVox05.wav', '35_BackingVox06.wav', '36_BackingVox07.wav', '37_BackingVox08.wav', '38_BackingVox09.wav', '39_BackingVox10.wav', '40_BackingVox11.wav', '41_BackingVox12.wav', '42_BackingVox13.wav', '43_BackingVox14.wav', '44_BackingVox15.wav', '45_BackingVox16.wav', '46_BackingVox17.wav', '47_BackingVox18.wav']",[],1
Preach Right Here,"['01_Kick.wav', '02_KickSample.wav']","['03_Snare.wav', '04_SnareSample.wav']",[],[],['07_Overheads.wav'],"['05_Tom1.wav', '06_Tom2.wav']",['08_Room.wav'],"['09_Tambourine.wav', '10_Shaker.wav']","['11_Bass1.wav', '12_Bass2.wav']","['13_AcousticGtr1.wav', '14_AcousticGtr2.wav', '15_Dulcimer1.wav', '16_Dulcimer2.wav']","['17_ElecGtr1.wav', '18_ElecGtr2.wav']",[],[],[],[],[],"['19_SFX1.wav', '20_SFX2.wav', '21_SFX3.wav', '22_SFX4.wav']",['23_LeadVox.wav'],"['24_BackingVox1.wav', '25_BackingVox2.wav', '26_BackingVox3.wav']",[],0
Prodigal,['01_Kick.wav'],['02_Snare.wav'],[],[],['03_Overheads.wav'],[],[],[],['04_Bass.wav'],[],"['05_ElecGtr1.wav', '06_ElecGtr1DI.wav', '07_ElecGtr2.wav', '08_ElecGtr2DI.wav', '09_ElecGtr3.wav', '10_ElecGtr3DI.wav', '11_ElecGtr4.wav', '12_ElecGtr4DI.wav', '13_ElecGtr5.wav', '14_ElecGtr5DI.wav']",[],[],[],[],[],[],['15_LeadVox.wav'],"['16_BackingVox1.wav', '17_BackingVox2.wav', '18_BackingVox3.wav', '19_BackingVox4.wav']",[],0
Progresivo 1 El Vuelo,['01_Kick.wav'],"['02_Snare1.wav', '03_Snare2a.wav', '04_Snare2b.wav', '05_Snare2c.wav', '06_Snare2d.wav', '07_Snare2e.wav']",['16_HiHat.wav'],"['17_Ride1.wav', '18_Rde2.wav', '19_Cymbal1.wav', '20_Cymbal2.wav', '21_Cymbal3.wav', '22_Cymbal4.wav']",['23_Overheads.wav'],"['08_Tom1.wav', '09_Tom2.wav', '10_Tom3.wav', '11_Tom4.wav', '12_Tom5.wav', '13_Tom6.wav', '14_Tom7.wav', '15_Tom8.wav']",['24_DrumsRoom.wav'],"['25_Tambourine.wav', '55_Marimba.wav']","['29_Bass1.wav', '30_Bass2.wav']",[],"['31_ElecGtr01.wav', '32_ElecGtr02.wav', '33_ElecGtr03.wav', '34_ElecGtr04.wav', '35_ElecGtr05.wav', '36_ElecGtr05DT1.wav', '37_ElecGtr05DT2.wav', '38_ElecGtr06.wav', '39_ElecGtr06DT1.wav', '40_ElecGtr06DT2.wav', '41_ElecGtr07.wav', '42_ElecGtr08.wav', '43_ElecGtr09.wav', '44_ElecGtr10.wav', '45_ElecGtr11.wav', '46_ElecGtr12.wav', '47_ElecGtr13.wav', '48_ElecGtr14.wav']",[],[],['50_Tuba.wav'],"['51_Strings1.wav', '52_Strings3.wav', '53_Strings2.wav']",['49_OboeBassoon.wav'],"['26_SFX1.wav', '27_SFX2.wav', '28_SFX3.wav', '54_Bells.wav', '56_Synth1.wav', '57_Synth2.wav', '58_Synth3.wav', '59_Synth4.wav']",[],[],[],0
Promises & Lies,['01_Kick.wav'],['02_Snare.wav'],['03_HiHat.wav'],"['07_Ride.wav', '08_Cymbal.wav']",[],"['09_Tom1.wav', '10_Tom2.wav', '11_Tom3.wav']","['04_DrumsRoom1.wav', '05_DrumsRoom2.wav', '06_DrumsRoom3.wav']",[],['12_Bass.wav'],[],"['13_ElecGtr1.wav', '14_ElecGtr2.wav', '15_ElecGtr3.wav', '16_ElecGtr4.wav', '17_ElecGtr5.wav']",[],[],[],[],[],[],['18_LeadVox.wav'],"['19_BackingVox1.wav', '20_BackingVox2.wav', '21_BackingVox3.wav', '22_BackingVox4.wav', '23_BackingVox5.wav']",[],1
